state,district,year,season,groundwater_level,latitude,longitude,well_id,aquifer_type
Punjab,Ludhiana,2000,Pre-Monsoon,53.4,27.5074,85.1627,CGWB-01000,Coastal
Punjab,Ludhiana,2000,Post-Monsoon,47.85,27.3176,85.353,CGWB-01001,Coastal
Punjab,Ludhiana,2000,Rabi,52.09,27.795,84.9629,CGWB-01002,Coastal
Punjab,Ludhiana,2000,Kharif,49.3,27.8272,85.3329,CGWB-01003,Coastal
Punjab,Ludhiana,2001,Pre-Monsoon,56.3,27.4718,84.9904,CGWB-01004,Coastal
Punjab,Ludhiana,2001,Post-Monsoon,49.26,27.8161,85.1021,CGWB-01005,Coastal
Punjab,Ludhiana,2001,Rabi,54.04,27.4613,85.5524,CGWB-01006,Coastal
Punjab,Ludhiana,2001,Kharif,50.36,27.5119,85.4784,CGWB-01007,Coastal
Punjab,Ludhiana,2002,Pre-Monsoon,57.43,27.2398,85.5278,CGWB-01008,Coastal
Punjab,Ludhiana,2002,Post-Monsoon,53.85,27.5698,85.1937,CGWB-01009,Coastal
Punjab,Ludhiana,2002,Rabi,56.49,27.5978,85.4624,CGWB-01010,Coastal
Punjab,Ludhiana,2002,Kharif,51.74,27.3359,85.1971,CGWB-01011,Coastal
Punjab,Ludhiana,2003,Pre-Monsoon,60.52,27.4869,85.0872,CGWB-01012,Coastal
Punjab,Ludhiana,2003,Post-Monsoon,52.49,27.5725,84.9812,CGWB-01013,Coastal
Punjab,Ludhiana,2003,Rabi,57.13,27.4689,85.5184,CGWB-01014,Coastal
Punjab,Ludhiana,2003,Kharif,56.28,27.6682,85.1584,CGWB-01015,Coastal
Punjab,Ludhiana,2004,Pre-Monsoon,62.56,27.8085,85.4692,CGWB-01016,Coastal
Punjab,Ludhiana,2004,Post-Monsoon,58.3,27.6802,85.2863,CGWB-01017,Coastal
Punjab,Ludhiana,2004,Rabi,59.67,27.5961,85.128,CGWB-01018,Coastal
Punjab,Ludhiana,2004,Kharif,56.72,27.4096,85.0616,CGWB-01019,Coastal
Punjab,Ludhiana,2005,Pre-Monsoon,63.35,27.4688,85.1385,CGWB-01020,Coastal
Punjab,Ludhiana,2005,Post-Monsoon,56.57,27.2403,85.0817,CGWB-01021,Coastal
Punjab,Ludhiana,2005,Rabi,62.01,27.5954,85.5182,CGWB-01022,Coastal
Punjab,Ludhiana,2005,Kharif,59.21,27.6225,85.5114,CGWB-01023,Coastal
Punjab,Ludhiana,2006,Pre-Monsoon,64.98,27.2891,85.1849,CGWB-01024,Coastal
Punjab,Ludhiana,2006,Post-Monsoon,60.08,27.6331,85.362,CGWB-01025,Coastal
Punjab,Ludhiana,2006,Rabi,60.79,27.5686,85.1922,CGWB-01026,Coastal
Punjab,Ludhiana,2006,Kharif,60.94,27.8149,85.4718,CGWB-01027,Coastal
Punjab,Ludhiana,2007,Pre-Monsoon,65.84,27.3855,84.9867,CGWB-01028,Coastal
Punjab,Ludhiana,2007,Post-Monsoon,61.4,27.6582,85.029,CGWB-01029,Coastal
Punjab,Ludhiana,2007,Rabi,62.8,27.7693,85.2477,CGWB-01030,Coastal
Punjab,Ludhiana,2007,Kharif,61.62,27.5698,85.3797,CGWB-01031,Coastal
Punjab,Ludhiana,2008,Pre-Monsoon,69.1,27.5557,85.0843,CGWB-01032,Coastal
Punjab,Ludhiana,2008,Post-Monsoon,61.0,27.7976,85.3218,CGWB-01033,Coastal
Punjab,Ludhiana,2008,Rabi,67.08,27.6065,85.1398,CGWB-01034,Coastal
Punjab,Ludhiana,2008,Kharif,64.17,27.2951,85.2364,CGWB-01035,Coastal
Punjab,Ludhiana,2009,Pre-Monsoon,70.02,27.7618,85.157,CGWB-01036,Coastal
Punjab,Ludhiana,2009,Post-Monsoon,62.34,27.3051,85.1762,CGWB-01037,Coastal
Punjab,Ludhiana,2009,Rabi,67.71,27.6205,84.9627,CGWB-01038,Coastal
Punjab,Ludhiana,2009,Kharif,66.07,27.4434,85.1453,CGWB-01039,Coastal
Punjab,Ludhiana,2010,Pre-Monsoon,72.45,27.5227,85.3779,CGWB-01040,Coastal
Punjab,Ludhiana,2010,Post-Monsoon,64.3,27.3935,85.1089,CGWB-01041,Coastal
Punjab,Ludhiana,2010,Rabi,69.22,27.5667,85.2047,CGWB-01042,Coastal
Punjab,Ludhiana,2010,Kharif,66.62,27.2708,85.1148,CGWB-01043,Coastal
Punjab,Ludhiana,2011,Pre-Monsoon,75.06,27.6592,85.0513,CGWB-01044,Coastal
Punjab,Ludhiana,2011,Post-Monsoon,66.31,27.8305,85.1225,CGWB-01045,Coastal
Punjab,Ludhiana,2011,Rabi,71.5,27.2517,85.1695,CGWB-01046,Coastal
Punjab,Ludhiana,2011,Kharif,69.49,27.6125,85.3709,CGWB-01047,Coastal
Punjab,Ludhiana,2012,Pre-Monsoon,72.86,27.5636,85.3181,CGWB-01048,Coastal
Punjab,Ludhiana,2012,Post-Monsoon,71.14,27.2804,85.1842,CGWB-01049,Coastal
Punjab,Ludhiana,2012,Rabi,74.23,27.514,85.5525,CGWB-01050,Coastal
