state,district,year,season,groundwater_level,latitude,longitude
Punjab,Ludhiana,2000,Pre-Monsoon,56.08,12.2119,69.6844
Punjab,Ludhiana,2000,Post-Monsoon,51.22,31.3868,85.4323
Punjab,Ludhiana,2000,Rabi,53.87,12.9519,76.823
Punjab,Ludhiana,2000,Kharif,50.96,22.1684,80.5264
Punjab,Ludhiana,2001,Pre-Monsoon,57.26,29.1998,73.7905
Punjab,Ludhiana,2001,Post-Monsoon,56.38,9.2542,85.6188
Punjab,Ludhiana,2001,Rabi,57.14,12.6042,69.8865
Punjab,Ludhiana,2001,Kharif,52.65,10.6371,87.8428
Punjab,Ludhiana,2002,Pre-Monsoon,61.0,25.8881,77.0396
Punjab,Ludhiana,2002,Post-Monsoon,54.93,22.0418,83.8546
Punjab,Ludhiana,2002,Rabi,58.67,32.8906,70.5663
Punjab,Ludhiana,2002,Kharif,56.67,13.2915,69.3116
Punjab,Ludhiana,2003,Pre-Monsoon,60.77,22.6528,72.0868
Punjab,Ludhiana,2003,Post-Monsoon,57.02,27.6832,90.3668
Punjab,Ludhiana,2003,Rabi,61.48,9.9992,78.3955
Punjab,Ludhiana,2003,Kharif,54.88,9.7161,77.0185
Punjab,Ludhiana,2004,Pre-Monsoon,63.39,27.2576,90.0628
Punjab,Ludhiana,2004,Post-Monsoon,57.83,23.1545,90.358
Punjab,Ludhiana,2004,Rabi,67.0,19.5436,68.7372
Punjab,Ludhiana,2004,Kharif,57.56,10.9131,68.9114
Punjab,Ludhiana,2005,Pre-Monsoon,68.31,28.3999,74.6351
Punjab,Ludhiana,2005,Post-Monsoon,59.43,12.353,94.9612
Punjab,Ludhiana,2005,Rabi,63.11,29.8193,86.3687
Punjab,Ludhiana,2005,Kharif,61.13,13.0374,93.8842
Punjab,Ludhiana,2006,Pre-Monsoon,68.16,19.5319,91.7224
Punjab,Ludhiana,2006,Post-Monsoon,60.99,31.2397,68.2016
Punjab,Ludhiana,2006,Rabi,61.56,13.9969,71.4761
Punjab,Ludhiana,2006,Kharif,63.06,17.1156,95.3444
Punjab,Ludhiana,2007,Pre-Monsoon,67.31,14.7981,82.4202
Punjab,Ludhiana,2007,Post-Monsoon,61.74,8.9959,85.6774
Punjab,Ludhiana,2007,Rabi,65.86,21.5723,69.4929
Punjab,Ludhiana,2007,Kharif,65.06,14.4682,72.202
Punjab,Ludhiana,2008,Pre-Monsoon,70.98,27.6618,78.6657
Punjab,Ludhiana,2008,Post-Monsoon,66.31,25.0723,86.3724
Punjab,Ludhiana,2008,Rabi,67.82,30.5532,77.3026
Punjab,Ludhiana,2008,Kharif,66.26,13.036,69.1825
Punjab,Ludhiana,2009,Pre-Monsoon,75.26,12.7079,88.0372
Punjab,Ludhiana,2009,Post-Monsoon,67.88,11.7131,77.8909
Punjab,Ludhiana,2009,Rabi,70.7,11.0638,94.8161
Punjab,Ludhiana,2009,Kharif,67.41,25.8196,91.6994
Punjab,Ludhiana,2010,Pre-Monsoon,73.59,17.4287,89.0527
Punjab,Ludhiana,2010,Post-Monsoon,70.53,32.222,93.7255
Punjab,Ludhiana,2010,Rabi,73.67,10.2718,72.6872
Punjab,Ludhiana,2010,Kharif,71.57,32.261,85.5864
Punjab,Ludhiana,2011,Pre-Monsoon,75.72,14.4057,77.4366
Punjab,Ludhiana,2011,Post-Monsoon,71.7,30.929,87.0708
Punjab,Ludhiana,2011,Rabi,76.45,23.3443,70.7166
Punjab,Ludhiana,2011,Kharif,69.49,14.5877,96.2173
Punjab,Ludhiana,2012,Pre-Monsoon,83.45,21.298,73.662
Punjab,Ludhiana,2012,Post-Monsoon,72.49,27.5062,76.1424
Punjab,Ludhiana,2012,Rabi,76.41,12.782,95.2733
